bundle,frequency,relative_frequency,DOCF,rel_DOCF,structure,function,sub_corpus,prompt_based_bundle
be able to have,15,142.72122,14,2.33333,VP,SE,ENS-SM,non_prompt_based_bundle
be banned at all,15,142.72122,14,2.33333,VP,SE,ENS-SM,prompt_based_bundle
I do n't like,15,142.72122,12,2,VP,SE,ENS-SM,non_prompt_based_bundle
I do n't really,15,142.72122,14,2.33333,VP,SE,ENS-SM,non_prompt_based_bundle
I do think that,15,142.72122,14,2.33333,VP,SE,ENS-SM,non_prompt_based_bundle
not be able to,15,142.72122,13,2.16667,VP,SE,ENS-SM,non_prompt_based_bundle
part time job while,15,142.72122,15,2.5,NP/PP,RF,ENS-SM,non_prompt_based_bundle
they want to do,15,142.72122,15,2.5,VP,SE,ENS-SM,non_prompt_based_bundle
think it should be,15,142.72122,14,2.33333,VP,SE,ENS-SM,non_prompt_based_bundle
be banned from all,14,133.20647,12,2,VP,SE,ENS-SM,prompt_based_bundle
in all public places,14,133.20647,12,2,NP/PP,RF,ENS-SM,non_prompt_based_bundle
in the United States,14,133.20647,12,2,NP/PP,RF,ENS-SM,non_prompt_based_bundle
they are in college,14,133.20647,13,2.16667,VP,RF,ENS-SM,non_prompt_based_bundle
a good idea for,13,123.69172,12,2,NP/PP,SE,ENS-SM,non_prompt_based_bundle
a lot of students,13,123.69172,11,1.83333,NP/PP,RF,ENS-SM,non_prompt_based_bundle
all restaurants across the,13,123.69172,12,2,NP/PP,RF,ENS-SM,prompt_based_bundle
all restaurants in the,13,123.69172,12,2,NP/PP,RF,ENS-SM,prompt_based_bundle
believe that it is,13,123.69172,13,2.16667,VP,SE,ENS-SM,non_prompt_based_bundle
college student to have,13,123.69172,10,1.66667,NP/PP,RF,ENS-SM,prompt_based_bundle
part-time job because it,13,123.69172,13,2.16667,NP/PP,SE,ENS-SM,non_prompt_based_bundle
restaurants across the country,13,123.69172,13,2.16667,NP/PP,RF,ENS-SM,prompt_based_bundle
statement that smoking should,13,123.69172,13,2.16667,DC,SE,ENS-SM,prompt_based_bundle
that it is important,13,123.69172,13,2.16667,DC,SE,ENS-SM,prompt_based_bundle
that students should have,13,123.69172,12,2,DC,SE,ENS-SM,prompt_based_bundle
the statement that smoking,13,123.69172,13,2.16667,DC,RF,ENS-SM,prompt_based_bundle
who do n't smoke,13,123.69172,12,2,DC,RF,ENS-SM,non_prompt_based_bundle
and things like that,12,114.17697,9,1.5,DC,RF,ENS-SM,non_prompt_based_bundle
banned in all public,12,114.17697,9,1.5,VP,SE,ENS-SM,non_prompt_based_bundle
for a college student,12,114.17697,10,1.66667,NP/PP,RF,ENS-SM,prompt_based_bundle
I do n't believe,12,114.17697,12,2,VP,SE,ENS-SM,non_prompt_based_bundle
part time job is,12,114.17697,12,2,NP/PP,RF,ENS-SM,prompt_based_bundle
should have a part,12,114.17697,12,2,VP,SE,ENS-SM,non_prompt_based_bundle
should have part-time jobs,12,114.17697,12,2,VP,SE,ENS-SM,non_prompt_based_bundle
think it would be,12,114.17697,12,2,VP,SE,ENS-SM,non_prompt_based_bundle
think that it is,12,114.17697,11,1.83333,VP,SE,ENS-SM,prompt_based_bundle
to have part-time jobs,12,114.17697,11,1.83333,DC,RF,ENS-SM,prompt_based_bundle
to take care of,12,114.17697,9,1.5,DC,SE,ENS-SM,non_prompt_based_bundle
will be able to,12,114.17697,10,1.66667,VP,SE,ENS-SM,non_prompt_based_bundle
have a part-time job,125,1288.98,81,20.25,VP,RF,ENS-WE,prompt_based_bundle
to have a part-time,81,835.26,61,15.25,DC,RF,ENS-WE,prompt_based_bundle
for college students to,60,618.71,51,12.75,NP/PP,RF,ENS-WE,prompt_based_bundle
students to have a,59,608.4,50,12.5,VP,RF,ENS-WE,prompt_based_bundle
having a part-time job,58,598.09,42,10.5,VP,RF,ENS-WE,prompt_based_bundle
important for college students,58,598.09,50,12.5,NP/PP,SE,ENS-WE,prompt_based_bundle
college students to have,55,567.15,47,11.75,NP/PP,RF,ENS-WE,prompt_based_bundle
smoking should be banned,50,515.59,38,9.5,VP,SE,ENS-WE,prompt_based_bundle
I think that it,41,422.79,37,9.25,VP,SE,ENS-WE,non_prompt_based_bundle
that smoking should be,39,402.16,34,8.5,DC,SE,ENS-WE,prompt_based_bundle
I do n't think,36,371.23,32,8,VP,SE,ENS-WE,non_prompt_based_bundle
think that it is,36,371.23,34,8.5,VP,SE,ENS-WE,non_prompt_based_bundle
a part-time job is,34,350.6,30,7.5,NP/PP,RF,ENS-WE,prompt_based_bundle
is important for college,32,329.98,27,6.75,VP,SE,ENS-WE,prompt_based_bundle
the restaurants in Japan,32,329.98,28,7,NP/PP,RF,ENS-WE,prompt_based_bundle
I think it is,31,319.67,28,7,VP,SE,ENS-WE,non_prompt_based_bundle
it is important for,31,319.67,29,7.25,VP,SE,ENS-WE,prompt_based_bundle
all the restaurants in,28,288.73,23,5.75,NP/PP,RF,ENS-WE,prompt_based_bundle
do n't think that,28,288.73,23,5.75,VP,SE,ENS-WE,non_prompt_based_bundle
should be banned in,28,288.73,21,5.25,VP,SE,ENS-WE,prompt_based_bundle
that it is important,27,278.42,25,6.25,DC,SE,ENS-WE,prompt_based_bundle
ban smoking in restaurants,23,237.17,23,5.75,VP,SE,ENS-WE,prompt_based_bundle
should have a part-time,23,237.17,22,5.5,VP,SE,ENS-WE,non_prompt_based_bundle
a part-time job in,22,226.86,21,5.25,NP/PP,RF,ENS-WE,prompt_based_bundle
at all the restaurants,22,226.86,18,4.5,NP/PP,RF,ENS-WE,prompt_based_bundle
a part time job,21,216.55,15,3.75,NP/PP,RF,ENS-WE,prompt_based_bundle
at restaurants in Japan,21,216.55,19,4.75,NP/PP,RF,ENS-WE,prompt_based_bundle
should be banned at,21,216.55,20,5,VP,SE,ENS-WE,prompt_based_bundle
have the right to,20,206.24,17,4.25,VP,SE,ENS-WE,non_prompt_based_bundle
I do n't know,19,195.92,17,4.25,VP,SE,ENS-WE,non_prompt_based_bundle
to ban smoking in,19,195.92,19,4.75,DC,SE,ENS-WE,non_prompt_based_bundle
is very important for,18,185.61,18,4.5,VP,SE,ENS-WE,non_prompt_based_bundle
and I think that,17,175.3,17,4.25,VP,SE,ENS-WE,non_prompt_based_bundle
banning smoking in restaurants,17,175.3,16,4,VP,SE,ENS-WE,non_prompt_based_bundle
I do n't believe,17,175.3,17,4.25,VP,SE,ENS-WE,non_prompt_based_bundle
is one of the,17,175.3,14,3.5,VP,RF,ENS-WE,non_prompt_based_bundle
the value of money,17,175.3,12,3,NP/PP,RF,ENS-WE,non_prompt_based_bundle
think that smoking should,17,175.3,15,3.75,VP,SE,ENS-WE,non_prompt_based_bundle
banned at all the,16,164.99,14,3.5,VP,SE,ENS-WE,prompt_based_bundle
do n't believe that,16,164.99,16,4,VP,SE,ENS-WE,non_prompt_based_bundle
part-time job is a,16,164.99,14,3.5,NP/PP,RF,ENS-WE,prompt_based_bundle
so that they can,16,164.99,15,3.75,DC,SE,ENS-WE,non_prompt_based_bundle
banned in all restaurants,15,154.68,13,3.25,VP,SE,ENS-WE,prompt_based_bundle
be banned at all,15,154.68,15,3.75,VP,SE,ENS-WE,prompt_based_bundle
be banned in all,15,154.68,12,3,VP,SE,ENS-WE,prompt_based_bundle
do not want to,15,154.68,13,3.25,VP,SE,ENS-WE,non_prompt_based_bundle
should be able to,15,154.68,14,3.5,VP,SE,ENS-WE,non_prompt_based_bundle
to be able to,15,154.68,12,3,DC,SE,ENS-WE,non_prompt_based_bundle
a part-time job while,14,144.37,14,3.5,NP/PP,RF,ENS-WE,prompt_based_bundle
at the restaurants in,14,144.37,12,3,NP/PP,RF,ENS-WE,prompt_based_bundle
believe that it is,14,144.37,14,3.5,VP,SE,ENS-WE,non_prompt_based_bundle
it is a good,14,144.37,13,3.25,VP,SE,ENS-WE,non_prompt_based_bundle
part-time job in college,14,144.37,13,3.25,NP/PP,RF,ENS-WE,prompt_based_bundle
to ban smoking at,14,144.37,14,3.5,DC,SE,ENS-WE,non_prompt_based_bundle
as a result of,13,134.05,12,3,NP/PP,RF,ENS-WE,non_prompt_based_bundle
at the same time,13,134.05,12,3,NP/PP,RF,ENS-WE,non_prompt_based_bundle
have to worry about,13,134.05,13,3.25,VP,SE,ENS-WE,non_prompt_based_bundle
Having a part-time job,13,134.05,11,2.75,VP,RF,ENS-WE,prompt_based_bundle
I agree with this,13,134.05,13,3.25,VP,SE,ENS-WE,prompt_based_bundle
I do not think,13,134.05,12,3,VP,SE,ENS-WE,non_prompt_based_bundle
I think that smoking,13,134.05,12,3,VP,SE,ENS-WE,non_prompt_based_bundle
it is very important,13,134.05,11,2.75,VP,SE,ENS-WE,prompt_based_bundle
very important for college,13,134.05,13,3.25,NP/PP,SE,ENS-WE,prompt_based_bundle
when it comes to,13,134.05,13,3.25,DC,DO,ENS-WE,non_prompt_based_bundle
a little bit of,12,123.74,11,2.75,NP/PP,RF,ENS-WE,non_prompt_based_bundle
agree with this statement,12,123.74,12,3,VP,SE,ENS-WE,prompt_based_bundle
all restaurants in Japan,12,123.74,11,2.75,NP/PP,RF,ENS-WE,non_prompt_based_bundle
be banned at restaurants,12,123.74,12,3,VP,SE,ENS-WE,prompt_based_bundle
be banned in restaurants,12,123.74,9,2.25,VP,SE,ENS-WE,prompt_based_bundle
I do n't agree,12,123.74,12,3,VP,SE,ENS-WE,non_prompt_based_bundle
I think that the,12,123.74,12,3,VP,SE,ENS-WE,non_prompt_based_bundle
is a great way,12,123.74,11,2.75,VP,SE,ENS-WE,non_prompt_based_bundle
that having a part-time,12,123.74,11,2.75,DC,RF,ENS-WE,non_prompt_based_bundle
that it is a,12,123.74,12,3,DC,DO,ENS-WE,non_prompt_based_bundle
that it would be,12,123.74,11,2.75,DC,SE,ENS-WE,non_prompt_based_bundle
a lot of people,11,113.43,11,2.75,NP/PP,RF,ENS-WE,non_prompt_based_bundle
a part-time job because,11,113.43,10,2.5,NP/PP,SE,ENS-WE,prompt_based_bundle
a part-time job can,11,113.43,10,2.5,NP/PP,SE,ENS-WE,non_prompt_based_bundle
and I do n't,11,113.43,11,2.75,VP,SE,ENS-WE,non_prompt_based_bundle
college students should have,11,113.43,11,2.75,VP,SE,ENS-WE,prompt_based_bundle
had a part-time job,11,113.43,11,2.75,VP,RF,ENS-WE,non_prompt_based_bundle
I agree with the,11,113.43,11,2.75,VP,SE,ENS-WE,prompt_based_bundle
smoking in public places,11,113.43,11,2.75,NP/PP,RF,ENS-WE,non_prompt_based_bundle
students should have a,11,113.43,11,2.75,VP,SE,ENS-WE,prompt_based_bundle
they want to do,11,113.43,11,2.75,VP,SE,ENS-WE,non_prompt_based_bundle
think it is important,11,113.43,11,2.75,VP,SE,ENS-WE,prompt_based_bundle
a part-time job and,10,103.12,10,2.5,NP/PP,RF,ENS-WE,prompt_based_bundle
ban on smoking in,10,103.12,8,2,NP/PP,RF,ENS-WE,non_prompt_based_bundle
find a part-time job,10,103.12,9,2.25,VP,RF,ENS-WE,non_prompt_based_bundle
for a long time,10,103.12,10,2.5,NP/PP,RF,ENS-WE,non_prompt_based_bundle
I believe that it,10,103.12,10,2.5,VP,SE,ENS-WE,non_prompt_based_bundle
I do n't really,10,103.12,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
I do think that,10,103.12,10,2.5,VP,SE,ENS-WE,non_prompt_based_bundle
I feel that it,10,103.12,10,2.5,VP,SE,ENS-WE,non_prompt_based_bundle
I think this is,10,103.12,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
if they want to,10,103.12,9,2.25,DC,SE,ENS-WE,non_prompt_based_bundle
in all restaurants in,10,103.12,10,2.5,NP/PP,RF,ENS-WE,prompt_based_bundle
not have to worry,10,103.12,10,2.5,VP,SE,ENS-WE,non_prompt_based_bundle
restaurants in Japan would,10,103.12,8,2,NP/PP,SE,ENS-WE,non_prompt_based_bundle
restaurants in the country,10,103.12,10,2.5,NP/PP,RF,ENS-WE,prompt_based_bundle
smoking at restaurants in,10,103.12,9,2.25,NP/PP,RF,ENS-WE,prompt_based_bundle
so I think that,10,103.12,10,2.5,VP,SE,ENS-WE,non_prompt_based_bundle
think that it would,10,103.12,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
a great way to,9,92.81,9,2.25,DC,SE,ENS-WE,non_prompt_based_bundle
agree that it is,9,92.81,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
ban smoking at restaurants,9,92.81,9,2.25,VP,RF,ENS-WE,prompt_based_bundle
but I do n't,9,92.81,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
but I do think,9,92.81,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
but I think that,9,92.81,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
by having a part-time,9,92.81,8,2,DC,DO,ENS-WE,prompt_based_bundle
college student should have,9,92.81,9,2.25,VP,SE,ENS-WE,prompt_based_bundle
fact of the matter,9,92.81,9,2.25,NP/PP,DO,ENS-WE,non_prompt_based_bundle
have enough time to,9,92.81,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
I agree that it,9,92.81,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
I disagree with this,9,92.81,9,2.25,VP,SE,ENS-WE,prompt_based_bundle
idea to ban smoking,9,92.81,9,2.25,NP/PP,RF,ENS-WE,non_prompt_based_bundle
in all public places,9,92.81,9,2.25,NP/PP,RF,ENS-WE,non_prompt_based_bundle
in restaurants in Japan,9,92.81,9,2.25,NP/PP,RF,ENS-WE,non_prompt_based_bundle
job is a great,9,92.81,8,2,VP,SE,ENS-WE,non_prompt_based_bundle
of the matter is,9,92.81,9,2.25,DC,DO,ENS-WE,non_prompt_based_bundle
on smoking in restaurants,9,92.81,9,2.25,NP/PP,RF,ENS-WE,prompt_based_bundle
should be completely banned,9,92.81,9,2.25,VP,SE,ENS-WE,prompt_based_bundle
should not have to,9,92.81,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
smoking at the restaurants,9,92.81,8,2,NP/PP,RF,ENS-WE,prompt_based_bundle
smoking in all restaurants,9,92.81,9,2.25,NP/PP,RF,ENS-WE,prompt_based_bundle
smoking in restaurants and,9,92.81,9,2.25,NP/PP,RF,ENS-WE,prompt_based_bundle
student should have a,9,92.81,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
the rest of the,9,92.81,9,2.25,NP/PP,RF,ENS-WE,non_prompt_based_bundle
want to have a,9,92.81,9,2.25,VP,SE,ENS-WE,non_prompt_based_bundle
and I think this,8,82.49,8,2,VP,SE,ENS-WE,non_prompt_based_bundle
as soon as possible,8,82.49,8,2,DC,SE,ENS-WE,non_prompt_based_bundle
banned at restaurants in,8,82.49,8,2,VP,RF,ENS-WE,prompt_based_bundle
feel that it is,8,82.49,8,2,VP,SE,ENS-WE,non_prompt_based_bundle
focus on their studies,8,82.49,8,2,NP/PP,SE,ENS-WE,non_prompt_based_bundle
good idea to ban,8,82.49,8,2,NP/PP,SE,ENS-WE,non_prompt_based_bundle
have a part time,8,82.49,8,2,VP,RF,ENS-WE,prompt_based_bundle
important for students to,8,82.49,8,2,NP/PP,SE,ENS-WE,prompt_based_bundle
in the U. S.,8,82.49,8,2,NP/PP,RF,ENS-WE,non_prompt_based_bundle
in the United States,8,82.49,8,2,NP/PP,RF,ENS-WE,non_prompt_based_bundle
is a good idea,8,82.49,8,2,VP,SE,ENS-WE,non_prompt_based_bundle
it would be a,8,82.49,8,2,VP,SE,ENS-WE,non_prompt_based_bundle
make a little bit,8,82.49,8,2,VP,RF,ENS-WE,non_prompt_based_bundle
n't believe that it,8,82.49,8,2,DC,SE,ENS-WE,non_prompt_based_bundle
On the other hand,8,82.49,8,2,NP/PP,DO,ENS-WE,non_prompt_based_bundle
smoking in restaurants in,8,82.49,8,2,NP/PP,RF,ENS-WE,prompt_based_bundle
the matter is that,8,82.49,8,2,DC,DO,ENS-WE,non_prompt_based_bundle
the right to smoke,8,82.49,8,2,NP/PP,SE,ENS-WE,non_prompt_based_bundle
think it is a,8,82.49,8,2,VP,SE,ENS-WE,non_prompt_based_bundle
to have a part,8,82.49,8,2,DC,RF,ENS-WE,prompt_based_bundle
